publicatie_status,titel,type,org_naam,org_url,org_logo,url,omschrijving
live,"Code for NL",Community,Code for NL,https://www.codefor.nl,https://pbs.twimg.com/profile_images/1404510511635513345/yS6ObN9k_400x400.jpg,https://praatmee.codefor.nl/,"Code for NL is de Nederlandse community van mensen die samenwerken aan een open, eerlijke en inclusieve digitale overheid en samenleving."
live,"Open Nederland",Vereniging,Vereniging Open Nederland,https://www.opennederland.nl/,https://media.licdn.com/dms/image/C4E0BAQENuNv5fNVOlQ/company-logo_100_100/0/1630564077662/open_nederland_logo?e=1720051200&v=beta&t=oVIxIzjTOnryW6L8zZSEcDuf6u3FZWngRK4MESsv1W8,https://www.opennederland.nl/word-lid/,"Open Nederland bestaat uit een landelijk netwerk van makers, adviseurs en ondernemers die de missie van Creative Commons in Nederland onderschrijft."
live,"NL Design System",Project,NL Design System,https://www.nldesignsystem.nl,https://avatars.githubusercontent.com/u/73885012?s=200&v=4,https://nldesignsystem.nl/project/blijf-op-de-hoogte,"Met een actieve community van specialisten verzamelt het kernteam de beste richtlijnen, componenten en voorbeelden om robuuste websites en webapplicaties voor de digitale overheid te bouwen."
live,"Common Ground",Community,Common Ground,https://commonground.nl,https://commonground.nl/file/embed/ca48ca97-b475-4318-bb7b-14cb552770c9/cg_small.png,https://commonground.nl/page/view/eed30357-e446-406c-99d4-78af028e3d6f/community,"De Common Ground community werkt samen aan het realiseren van de gemeentelijke informatievoorziening van de toekomst en Commonground.nl is onze virtuele ontmoetingsplaats."
live,"Digilab",Programma,Digilab,https://digilab.overheid.nl,https://digilab.overheid.nl/chat/api/v4/brand/image?t=0,https://digilab.overheid.nl/chat,"Digilab is een broedplaats voor technische innovaties, bedoeld voor projecten die voor of met de overheid werken. Samen met deze projecten werkt Digilab aan het versterken van de technische interoperabiliteit en het verantwoord delen van data."
live,"OSPO netwerk",Community,OSPO Netwerk,https://ospo-nl.github.io/kennisbank/,https://ospo-nl.github.io/kennisbank/assets/images/ospo-nl-logo-green.png,https://ospo-nl.github.io/kennisbank/community/,"OSPO-NL is een open community welke gestart is door Alliander, Belastingdienst en Kadaster. We verwelkomen graag meer deelnemers zodat kennis en uitvoering van OSPOs in organisaties in Nederland gemakkelijker, sneller en beter wordt."
live,"Open Source Overheid",Community,Open Source Overheid,https://opensource.pleio.nl,https://opensource.pleio.nl/file/embed/21ee41fb-5b7d-49b6-8ac3-6729ba104c07/57977371_icon.png,https://opensource.pleio.nl/groups/view/75fc54b2-f4bf-4e67-a931-1d5b5b4c038a/open-source-community,"Opensourcewerken is noodzakelijk en haalbaar. Op dit forum delen we kennis en ervaring om samen de transitie naar open by default te versnellen. Waar wil jij over praten?"
live,"Rijks Innovatie Community",Community,Rijks Innovatie Community,https://www.rijksinnovatiecommunity.nl/onderwerpen/community,https://www.exporic.nl/sites/default/files/styles/medium/public/sponsor/image002.png?itok=rHbx-evM,https://online.rijksinnovatiecommunity.nl/,"De Rijks Innovatie Community (RIC) is opgericht voor en door rijksmedewerkers. RIC heeft tot doel kennisuitwisseling en samenwerking rond innovatie binnen het Rijk te stimuleren. Alle ministeries en verschillende uitvoeringsorganisaties maken deel uit van RIC."
live,"Standard for Public Code",Community,Standard for Public Code,https://standard.publiccode.net,https://brand.publiccode.net/logo/mark.svg,https://standard.publiccode.net/CONTRIBUTING.html,"The Standard for Public Code supports the collaborative creation of codebases that are usable, open, legible, accountable, accessible and sustainable. It is meant to be applicable to codebases for all levels of government, from supranational to municipal."
