publicatie_status,titel,org_naam,org_url,org_logo,rol,domein,type,status,aanpak,omschrijving,begin,einde,duur,sort-jaar,standplaats,vaardigheden,url,tags
live,Clarity,Waag Futurelab,https://www.linkedin.com/company/waag-society/,https://media.licdn.com/dms/image/C4D0BAQFDMNS9HN7wJg/company-logo_200_200/0/1521457451751?e=1694649600&v=beta&t=Rh2DwljuKXq6p4zdg3r1zXz9gkuPurVdT0-CFZrOTV0,Product Lead,code for nl,in opdracht,afgerond,Design Sprint,Dit project is nog niet goed omschreven.,null,null,null,2018,null,null,,innovatie
live,Fixxx “Makkelijke Markt: Eerlijk Controleren”,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,"Concept Design, Algoritmes",straatmarkten,in opdracht,afgerond,Agile Development,"Met de introductie van het bonnenboekje, kregen we zicht op overtredingen van de marktregels. Dit leverde een oneerlijk voordeel op ten opzichte van anderen. In dit traject voegden we functionaliteit toe om marktkooplieden op een slimme en eerlijke manier extra te controleren.",null,null,null,2019,"Amsterdam, Nederland",null,,"datagedrevenwerken,commonground,innovatie,fixxx"
live,Fixxx “Makkelijke Markt: Digitaal Indelen”,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,"Concept Design, Algoritmes",null,in opdracht,afgerond,Agile Development,"Digitaal indelen van de straatmarkten is geen sinecure. De markten digitaliseren, aanmelden voor alle marktkooplieden mogelijk maken, slim en eerlijk indelen met een duidelijke link naar beleid en het laatste woord aan de marktmeesters: al deze aspecten passeerden de revue.",null,null,null,2019,null,null,,"digitaletransformatie,datagedrevenwerken,commonground,innovatie,fixxx"
live,Huisvesting Kwetsbare Groepen,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,Product Lead,null,in opdracht,afgerond,Agile Development,Dit project is nog niet goed omschreven.,null,null,null,2019,null,null,,null
live,ADUS Amsterdam,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,Adviseur Architectuur,straatnotes,in opdracht,afgerond,Platform Refactoring,informatie delen,null,null,null,2019,null,null,,"datagedrevenwerken,privacybydesign,commonground,innovatie"
live,Code for NL,Stichting Code for NL,https://www.linkedin.com/company/codefornl/,https://media.licdn.com/dms/image/C4D0BAQHjJ7tSM_9Nng/company-logo_200_200/0/1623696540608?e=1694649600&v=beta&t=oqtj4x45mrKwrM8OJHCZEt-2gfraTZD2HndfL6aKuW4,Community Lead,null,eigen initiatief,null,Open Meetups,Dit project is nog niet goed omschreven.,null,null,null,2019,null,null,https://www.codefor.nl,null
live,Digitale Transformatie Wonen,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,Adviseur,null,in opdracht,afgerond,Interventie,Dit project is nog niet goed omschreven.,null,null,null,2019,null,null,,"digitaletransformatie,innovatie"
live,Service Center Publieke Professionals,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,"Concept Design, Product Lead",null,null,null,Agile Development,Dit project is nog niet goed omschreven.,null,null,null,2019,null,null,,"digitaletransformatie,innovatie"
live,AI met Impact,Stichting Code for NL,https://www.linkedin.com/company/codefornl/,https://media.licdn.com/dms/image/C4D0BAQHjJ7tSM_9Nng/company-logo_200_200/0/1623696540608?e=1694649600&v=beta&t=oqtj4x45mrKwrM8OJHCZEt-2gfraTZD2HndfL6aKuW4,Adviseur Community,code for nl,in opdracht,afgerond,Community of Practice,Dit project is nog niet goed omschreven.,null,null,null,2019,null,"strategie, community-ontwikkeling, community management",,"datagedrevenwerken,AI"
live,Digitale Ondersteuning Bestrijding COVID-19,"Ministerie van Volksgezondheid, Welzijn en Sport",https://www.linkedin.com/company/ministerie-van-vws/,https://media.licdn.com/dms/image/D4E0BAQHNO7z0xop4YA/company-logo_200_200/0/1691392238406/ministerie_van_vws_logo?e=1708560000&v=beta&t=GlYSsSuXg6dH4L_DbxqoInG2_rbdmqTbPFUneILxXKI,Concept Design,null,ad hoc,null,Design Sprint,Dit project is nog niet goed omschreven.,null,null,null,2020,null,null,,innovatie
live,Unconference: Aligning Public Tech,Stichting Code for NL,https://www.linkedin.com/company/codefornl/,https://media.licdn.com/dms/image/C4D0BAQHjJ7tSM_9Nng/company-logo_200_200/0/1623696540608?e=1694649600&v=beta&t=oqtj4x45mrKwrM8OJHCZEt-2gfraTZD2HndfL6aKuW4,Organisatie,null,eigen initiatief,null,Open Unconference,Dit project is nog niet goed omschreven.,null,null,null,2020,null,null,,"publictech,openkennisdeling"
live,Consortium Publieke Controle op Algoritmes,Ministerie van Binnenlandse Zaken en Koninkrijksrelates,https://www.linkedin.com/company/ministerie-van-bzk/,https://media.licdn.com/dms/image/C4E0BAQGcYLYARqV-Bg/company-logo_200_200/0/1652875297587?e=1694649600&v=beta&t=Ni_Txx9zhdF6G0tbeyfUq0VdqNpRdMuKLfYd1pNKjJ8,Product Lead,algoritmeregister,in opdracht,afgerond,Design Thinking,Dit project is nog niet goed omschreven.,sept. 2021,feb. 2022,6 mnd.,2021,Online,"community management, product design, prototyping",,innovatie
live,Consortium Publieke Controle op Algoritmes,Ministerie van Binnenlandse Zaken en Koninkrijksrelates,https://www.linkedin.com/company/ministerie-van-bzk/,https://media.licdn.com/dms/image/C4E0BAQGcYLYARqV-Bg/company-logo_200_200/0/1652875297587?e=1694649600&v=beta&t=Ni_Txx9zhdF6G0tbeyfUq0VdqNpRdMuKLfYd1pNKjJ8,Kartrekker,algoritmeregister,in opdracht,afgerond,Open Samenwerking,Dit project is nog niet goed omschreven.,sept. 2021,feb. 2022,6 mnd.,2022,Online,"community management, product design, prototyping",,innovatie
live,Algorithm Registers for European Cities,Eurocities,https://www.linkedin.com/company/eurocities/,https://media.licdn.com/dms/image/C560BAQGelAf4sp8Beg/company-logo_200_200/0/1598942057633?e=1694649600&v=beta&t=C9D6bJyBclEVv5mm4804_vkpQZei3hs3J90-KpsGVFQ,Product Lead,algoritmeregister,in opdracht,afgerond,Agile Development,Dit project is nog niet goed omschreven.,feb. 2022,dec. 2022,11 mnd.,2022-12,Online,null,https://www.algorithmregister.org,null
blocked,Verbetering Dienstverlening Meldingen Openbare Ruimte,Gemeente Rotterdam,https://www.linkedin.com/company/gemeente-rotterdam/,https://media.licdn.com/dms/image/C4E0BAQGMKTff1Ydxow/company-logo_200_200/0/1609745623465?e=1694649600&v=beta&t=xilrnDVs2BudXp97QDOmcrQStnx3qk8vnTMT9BjJWYU,Adviseur,null,informeel,null,Open Samenwerking,Dit project is nog niet goed omschreven.,null,null,null,2023,null,null,,"digitaletransformatie,commonground,innovatie"
live,Algoritmeregister van de Nederlandse Overheid,Ministerie van Binnenlandse Zaken en Koninkrijksrelates,https://www.linkedin.com/company/ministerie-van-bzk/,https://media.licdn.com/dms/image/C4E0BAQGcYLYARqV-Bg/company-logo_200_200/0/1652875297587?e=1694649600&v=beta&t=Ni_Txx9zhdF6G0tbeyfUq0VdqNpRdMuKLfYd1pNKjJ8,Product Lead,algoritmeregister,in opdracht,afgerond,Agile Development,Voorbereiden van en adviseren bij het opzetten van het programma Algoritmeregister.,feb. 2022,jan. 2022,9 mnd.,2023-01,"Den Haag, Nederland","strategie, community management, product design, prototyping",https://algoritmes.overheid.nl,null
live,Sensorenregister Beheertool,Provincie Noord-Brabant,https://www.linkedin.com/company/provincie-noord-brabant/,https://media.licdn.com/dms/image/C4E0BAQFB_1lfwmQDdg/company-logo_200_200/0/1678933292806?e=1694649600&v=beta&t=ekBKPs7uh9B28G-TIlu2kn11WQ3t9aYiJEW9zwWZDcs,Product Lead,algoritmeregister,in opdracht,lopend,Agile Development,Product Lead software-ontwikkeling beheertool voor sensorenregistraties in Microsoft PowerApps.,okt. 2023,null,null,2023-05,"Den Bosch, Nederland",product lead,,null
live,Algoritmeregister Beheertool,Provincie Noord-Brabant,https://www.linkedin.com/company/provincie-noord-brabant/,https://media.licdn.com/dms/image/C4E0BAQFB_1lfwmQDdg/company-logo_200_200/0/1678933292806?e=1694649600&v=beta&t=ekBKPs7uh9B28G-TIlu2kn11WQ3t9aYiJEW9zwWZDcs,Product Lead,algoritmeregister,in opdracht,afgerond,Agile Development,Product Lead software-ontwikkeling beheertool voor algoritmeregistraties in Microsoft PowerApps.,okt. 2022,mei 2023,8 mnd.,2023-05,"Den Bosch, Nederland",product lead,https://www.algoritmeregister.org/beheertool,null
live,Gegevens- & algoritmeboekhouding,Ministerie van Justitie en Veiligheid,https://www.linkedin.com/company/ministerie-van-justitie-en-veiligheid-/,https://media.licdn.com/dms/image/C4E0BAQG50y6Gxf46JA/company-logo_200_200/0/1659950489882?e=1694649600&v=beta&t=DLIG_RZa_khCou0ghIrI5fwo3X1AqzzjFHzfbKB9YQk,Product Lead,gegevensboekhouding,in opdracht,lopend,Design Thinking,Dit project is nog niet goed omschreven.,juni 2023,null,null,2023-06,Den Haag,null,,null
